filepath,testclass,testname,assertion type,line number,assert string
task2results/qiskit-aqua-main/test/chemistry/test_app_mgse.py,test_mgse_callback_ipqe,test_mgse_callback_ipqe,assert_approx_equal,119,"np.testing.assert_approx_equal(result.energy, self.reference_energy, significant=2)"
task2results/qiskit-aqua-main/test/chemistry/test_end2end_with_qpe.py,test_qpe,test_qpe,assert_approx_equal,91,"np.testing.assert_approx_equal(result.eigenvalue.real, reference_energy, significant=2)"
task2results/qiskit-aqua-main/test/chemistry/test_potential.py,test_morse,test_morse,assert_array_almost_equal,84,"np.testing.assert_array_almost_equal(result, benchmark, decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_potential.py,test_morse,test_morse,assert_array_almost_equal,88,"np.testing.assert_array_almost_equal(hartrees, morse.eval(radia), decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_potential.py,test_morse,test_morse,assert_array_almost_equal,97,"np.testing.assert_array_almost_equal(vib_levels, vib_levels_ref, decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_potential.py,test_harmonic,test_harmonic,assert_array_almost_equal,146,"np.testing.assert_array_almost_equal(result, benchmark)"
task2results/qiskit-aqua-main/test/chemistry/test_potential.py,test_harmonic,test_harmonic,assert_array_almost_equal,150,"np.testing.assert_array_almost_equal(hartrees, harmonic.eval(radia))"
task2results/qiskit-aqua-main/test/chemistry/test_potential.py,test_harmonic,test_harmonic,assert_array_almost_equal,159,"np.testing.assert_array_almost_equal(vib_levels, vib_levels_ref)"
task2results/qiskit-aqua-main/test/chemistry/test_end2end_with_iqpe.py,test_iqpe,test_iqpe,assert_approx_equal,92,"np.testing.assert_approx_equal(result.eigenvalue.real, reference_energy, significant=2)"
task2results/qiskit-aqua-main/test/chemistry/test_core_hamiltonian.py,_validate_input_object,_validate_input_object,assertTrue,55,"self.assertTrue(isinstance(qubit_op, WeightedPauliOperator))"
task2results/qiskit-aqua-main/test/chemistry/test_bosonic_transformation.py,_validate_input_object,_validate_input_object,assertTrue,42,"self.assertTrue(isinstance(qubit_op, WeightedPauliOperator))"
task2results/qiskit-aqua-main/test/chemistry/test_qeom_ee.py,test_h2_four_qubits,test_h2_four_qubits,assert_array_almost_equal,72,"np.testing.assert_array_almost_equal(self.reference, result['energies'])"
task2results/qiskit-aqua-main/test/chemistry/test_qeom_ee.py,test_h2_two_qubits,test_h2_two_qubits,assert_array_almost_equal,95,"np.testing.assert_array_almost_equal(self.reference, result['energies'])"
task2results/qiskit-aqua-main/test/chemistry/test_qeom_ee.py,test_h2_one_qubit,test_h2_one_qubit,assert_array_almost_equal,119,"np.testing.assert_array_almost_equal(self.reference, result['energies'])"
task2results/qiskit-aqua-main/test/chemistry/test_driver_psi4_extra.py,test_psi4_failure,test_psi4_failure,assertTrue,94,"self.assertTrue(str(ctxmgr.exception).startswith(""'psi4 process return code""))"
task2results/qiskit-aqua-main/test/chemistry/test_driver.py,test_driver_atom_xyz,test_driver_atom_xyz,assert_array_almost_equal,96,"np.testing.assert_array_almost_equal(self.qmolecule.atom_xyz, [[0.0, 0.0, 0.0], [0.0, 0.0, 1.3889]], decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver.py,test_driver_mo_coeff,test_driver_mo_coeff,assert_array_almost_equal,103,"np.testing.assert_array_almost_equal(np.absolute(self.qmolecule.mo_coeff), [[0.5483, 1.2183], [0.5483, 1.2183]], decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver.py,test_driver_orbital_energies,test_driver_orbital_energies,assert_array_almost_equal,109,"np.testing.assert_array_almost_equal(self.qmolecule.orbital_energies, [(- 0.5806), 0.6763], decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver.py,test_driver_mo_onee_ints,test_driver_mo_onee_ints,assert_array_almost_equal,116,"np.testing.assert_array_almost_equal(np.absolute(self.qmolecule.mo_onee_ints), [[1.2563, 0.0], [0.0, 0.4719]], decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver.py,test_driver_mo_eri_ints,test_driver_mo_eri_ints,assert_array_almost_equal,123,"np.testing.assert_array_almost_equal(np.absolute(self.qmolecule.mo_eri_ints), [[[[0.6757, 0.0], [0.0, 0.6646]], [[0.0, 0.1809], [0.1809, 0.0]]], [[[0.0, 0.1809], [0.1809, 0.0]], [[0.6646, 0.0], [0.0, 0.6986]]]], decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_mp2info.py,test_mp2_get_term_info,test_mp2_get_term_info,assert_array_almost_equal,65,"np.testing.assert_array_almost_equal([0.028919010908783453, (- 0.07438748755263687)], coeffs, decimal=6)"
task2results/qiskit-aqua-main/test/chemistry/test_mp2info.py,test_mp2_get_term_info,test_mp2_get_term_info,assert_array_almost_equal,67,"np.testing.assert_array_almost_equal([(- 0.0010006159224579285), (- 0.009218577508137853)], e_deltas, decimal=6)"
task2results/qiskit-aqua-main/test/chemistry/test_mp2info.py,test_mp2_h2,test_mp2_h2,assert_array_almost_equal,79,"np.testing.assert_array_almost_equal([(- 0.06834019757197064), (- 0.012232934733533095)], terms['0_1_2_3'], decimal=6)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_polynomial_extrapolator,test_polynomial_extrapolator,assertLess,119,"self.assertLess(sum(sq_diff), 0.001)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_poly_window_extrapolator,test_poly_window_extrapolator,assertFalse,134,self.assertFalse(params.get(0.3))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_poly_window_extrapolator,test_poly_window_extrapolator,assertFalse,135,self.assertFalse(params.get(0.5))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_poly_window_extrapolator,test_poly_window_extrapolator,assertLess,138,"self.assertLess(sum(sq_diff_1), 0.1)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_poly_window_extrapolator,test_poly_window_extrapolator,assertLess,141,"self.assertLess(sum(sq_diff_2), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_poly_window_extrapolator,test_poly_window_extrapolator,assertLess,144,"self.assertLess(sum(sq_diff_3), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_extrapolator,test_differential_model_window_extrapolator,assertFalse,158,self.assertFalse(params.get(0.3))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_extrapolator,test_differential_model_window_extrapolator,assertFalse,159,self.assertFalse(params.get(0.5))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_extrapolator,test_differential_model_window_extrapolator,assertLess,162,"self.assertLess(sum(sq_diff_1), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_extrapolator,test_differential_model_window_extrapolator,assertLess,165,"self.assertLess(sum(sq_diff_2), 0.001)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_extrapolator,test_differential_model_window_extrapolator,assertLess,168,"self.assertLess(sum(sq_diff_3), 0.001)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_alternate_model_extrapolator,test_differential_model_window_alternate_model_extrapolator,assertFalse,184,self.assertFalse(params.get(0.3))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_alternate_model_extrapolator,test_differential_model_window_alternate_model_extrapolator,assertFalse,185,self.assertFalse(params.get(0.5))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_alternate_model_extrapolator,test_differential_model_window_alternate_model_extrapolator,assertLess,188,"self.assertLess(sum(sq_diff_1), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_alternate_model_extrapolator,test_differential_model_window_alternate_model_extrapolator,assertLess,191,"self.assertLess(sum(sq_diff_2), 0.001)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_differential_model_window_alternate_model_extrapolator,test_differential_model_window_alternate_model_extrapolator,assertLess,195,"self.assertLess(sum(sq_diff_3), 0.001)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_pca_polynomial_window_extrapolator,test_pca_polynomial_window_extrapolator,assertFalse,209,self.assertFalse(params.get(0.3))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_pca_polynomial_window_extrapolator,test_pca_polynomial_window_extrapolator,assertFalse,210,self.assertFalse(params.get(0.5))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_pca_polynomial_window_extrapolator,test_pca_polynomial_window_extrapolator,assertLess,213,"self.assertLess(sum(sq_diff_1), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_pca_polynomial_window_extrapolator,test_pca_polynomial_window_extrapolator,assertLess,216,"self.assertLess(sum(sq_diff_2), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_pca_polynomial_window_extrapolator,test_pca_polynomial_window_extrapolator,assertLess,219,"self.assertLess(sum(sq_diff_3), 0.01)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_sieve_poly_window_extrapolator,test_sieve_poly_window_extrapolator,assertFalse,234,self.assertFalse(params.get(0.3))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_sieve_poly_window_extrapolator,test_sieve_poly_window_extrapolator,assertFalse,235,self.assertFalse(params.get(0.5))
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_sieve_poly_window_extrapolator,test_sieve_poly_window_extrapolator,assertLess,238,"self.assertLess(sum(sq_diff_1), 0.1)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_sieve_poly_window_extrapolator,test_sieve_poly_window_extrapolator,assertLess,241,"self.assertLess(sum(sq_diff_2), 0.1)"
task2results/qiskit-aqua-main/test/chemistry/test_extrapolators.py,test_sieve_poly_window_extrapolator,test_sieve_poly_window_extrapolator,assertLess,244,"self.assertLess(sum(sq_diff_3), 0.1)"
task2results/qiskit-aqua-main/test/chemistry/test_driver_fcidump_dumper.py,test_dumped_h1,test_dumped_h1,assert_array_almost_equal,87,"np.testing.assert_array_almost_equal(np.absolute(self.dumped['H1']), np.absolute(self.mo_onee), decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver_fcidump_dumper.py,test_dumped_h2,test_dumped_h2,assert_array_almost_equal,93,"np.testing.assert_array_almost_equal(np.absolute(self.dumped['H2']), np.absolute(self.mo_eri), decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_bopes_sampler.py,test_h2_bopes_sampler,test_h2_bopes_sampler,assert_array_almost_equal,100,"np.testing.assert_array_almost_equal(points_run, [0.7, 1.0, 1.3])"
task2results/qiskit-aqua-main/test/chemistry/test_bopes_sampler.py,test_h2_bopes_sampler,test_h2_bopes_sampler,assert_array_almost_equal,101,"np.testing.assert_array_almost_equal(energies, [(- 1.13618945), (- 1.10115033), (- 1.03518627)], decimal=2)"
task2results/qiskit-aqua-main/test/chemistry/test_bopes_sampler.py,test_potential_interface,test_potential_interface,assert_array_almost_equal,135,"np.testing.assert_array_almost_equal([pot.alpha, pot.r_0], [2.235, 0.72], decimal=3)"
task2results/qiskit-aqua-main/test/chemistry/test_bopes_sampler.py,test_potential_interface,test_potential_interface,assert_array_almost_equal,136,"np.testing.assert_array_almost_equal([pot.d_e, pot.m_shift], [0.2107, (- 1.1419)], decimal=3)"
task2results/qiskit-aqua-main/test/chemistry/test_fermionic_operator.py,test_freezing_core,test_freezing_core,assertLess,107,"self.assertLess(diff, 1e-06)"
task2results/qiskit-aqua-main/test/chemistry/test_fermionic_operator.py,test_freezing_core,test_freezing_core,assertLess,120,"self.assertLess(diff, 1e-06)"
task2results/qiskit-aqua-main/test/chemistry/test_qeom_vqe.py,test_h2_two_qubits_statevector,test_h2_two_qubits_statevector,assert_array_almost_equal,93,"np.testing.assert_array_almost_equal(self.reference, result['energies'], decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_qeom_vqe.py,test_h2_one_qubit_statevector,test_h2_one_qubit_statevector,assert_array_almost_equal,134,"np.testing.assert_array_almost_equal(self.reference, result['energies'], decimal=5)"
task2results/qiskit-aqua-main/test/chemistry/test_qeom_vqe.py,test_h2_one_qubit_qasm,test_h2_one_qubit_qasm,assert_array_almost_equal,168,"np.testing.assert_array_almost_equal(self.reference, result['energies'], decimal=2)"
task2results/qiskit-aqua-main/test/chemistry/test_fermionic_transformation_orb_reduce.py,_validate_input_object,_validate_input_object,assertTrue,55,"self.assertTrue(isinstance(qubit_op, OperatorBase))"
task2results/qiskit-aqua-main/test/chemistry/test_core_hamiltonian_orb_reduce.py,_validate_input_object,_validate_input_object,assertTrue,55,"self.assertTrue(isinstance(qubit_op, WeightedPauliOperator))"
task2results/qiskit-aqua-main/test/chemistry/test_fermionic_transformation.py,_validate_input_object,_validate_input_object,assertTrue,56,"self.assertTrue(isinstance(qubit_op, OperatorBase))"
task2results/qiskit-aqua-main/test/chemistry/test_oovqe.py,test_oovqe,test_oovqe,assertLessEqual,95,"self.assertLessEqual(algo_result.computed_electronic_energy, self.energy1, 4)"
task2results/qiskit-aqua-main/test/chemistry/test_oovqe.py,test_iterative_oovqe,test_iterative_oovqe,assertLessEqual,111,"self.assertLessEqual(algo_result.computed_electronic_energy, self.energy1)"
task2results/qiskit-aqua-main/test/chemistry/test_oovqe.py,test_oovqe_with_frozen_core,test_oovqe_with_frozen_core,assertLessEqual,126,"self.assertLessEqual(((algo_result.computed_electronic_energy + self.transformation2._energy_shift) + self.transformation2._nuclear_repulsion_energy), self.energy2)"
task2results/qiskit-aqua-main/test/chemistry/test_oovqe.py,test_oovqe_with_unrestricted_hf,test_oovqe_with_unrestricted_hf,assertLessEqual,143,"self.assertLessEqual(algo_result.computed_electronic_energy, self.energy3)"
task2results/qiskit-aqua-main/test/chemistry/test_oovqe.py,test_oovqe_with_vqe_uccsd,test_oovqe_with_vqe_uccsd,assertLessEqual,173,"self.assertLessEqual(algo_result.computed_electronic_energy, self.energy1, 4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver_fcidump.py,test_driver_mo_onee_ints,test_driver_mo_onee_ints,assert_array_almost_equal,84,"np.testing.assert_array_almost_equal(np.absolute(self.qmolecule.mo_onee_ints), np.absolute(self.mo_onee), decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver_fcidump.py,test_driver_mo_onee_b_ints,test_driver_mo_onee_b_ints,assert_array_almost_equal,94,"np.testing.assert_array_almost_equal(np.absolute(self.qmolecule.mo_onee_ints_b), np.absolute(self.mo_onee_b), decimal=4)"
task2results/qiskit-aqua-main/test/chemistry/test_driver_fcidump.py,test_driver_mo_eri_ints,test_driver_mo_eri_ints,assert_array_almost_equal,102,"np.testing.assert_array_almost_equal(np.absolute(self.qmolecule.mo_eri_ints), np.absolute(self.mo_eri), decimal=4)"
